amfi_code,scheme_name,fund_house,scheme_type,scheme_category,category,isin_growth
132183,Aditya Birla Sun Life Conservative Hybrid Active FOF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01EQ8
119591,Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01WC7
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Corporate Bond,INF209K01S38
134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Credit Risk,INF209KA1K88
150702,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB14N1
150938,Aditya Birla Sun Life Crisil IBX 60:40 SDL + AAA PSU APR 2026 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB10P4
150353,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB19H2
151577,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB11U2
152267,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB19Y7
152659,Aditya Birla Sun Life Crisil IBX Gilt June 2027 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1076
150778,Aditya Birla Sun Life Crisil IBX Gilt-Apr-2029 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB12O3
150698,Aditya Birla Sun Life Crisil IBX Gilt-April 2026 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB10N9
153030,Aditya Birla Sun Life Crisil-IBX AAA Financial Services Index-Sep 2027 Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1290
152947,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1217
153443,Aditya Birla Sun Life Crisil-IBX Financial Services 9-12 Months Debt Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1498
153179,Aditya Birla Sun Life Crisil-IBX financial Services 3 to 6 months Debt Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1456
120539,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01VF2
132186,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01EW6
119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,Dynamic Bond,INF209K01N82
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,ELSS,INF209K01UN8
148637,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB1U76
120517,Aditya Birla Sun Life Equity Hybrid'95 Fund - Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Aggressive Hybrid,INF209K01ZC0
132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,Equity Savings,INF209KA1TP9
120564,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Flexi Cap,INF209K01XX1
122646,Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,Floating Rate,INF209K01UX7
119564,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,Focused,INF209K01WE3
132140,Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF084M01EB0
132009,Aditya Birla Sun Life Global Excellence Equity Fund Of Fund - Retail Plan - Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF084M01EH7
120546,Aditya Birla Sun Life Gold Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF209K01YU5
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Gilt,INF209K01XP7
119657,Aditya Birla Sun Life Income Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Long Duration,INF209K01WY1
131898,Aditya Birla Sun Life Income Plus Arbitrage Active FOF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01DP2
119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01WH6
119517,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01WS3
119436,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Mid Cap,INF209K01VH8
119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Large Cap,INF209K01YY7
119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid,INF209K01VA3
150484,Aditya Birla Sun Life Long Duration Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,Long Duration,INF209KB17J2
119523,Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,Low Duration,INF209K01XU7
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01VT3
133516,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KA1YK0
119539,Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Medium Duration,INF209K01XA9
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Mid Cap,INF209K01Q30
119511,Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Money Market,INF209K01UU3
151307,Aditya Birla Sun Life Multi Asset Allocation Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,Multi Asset,INF209KB15R9
131865,Aditya Birla Sun Life Multi Asset Omni FoF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01DM9
150688,Aditya Birla Sun Life Multi-Asset Passive FOF-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF209KB15M0
148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,Multi Cap,INF209KB1Y49
148962,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KB1Z71
119648,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209K01VY3
152798,Aditya Birla Sun Life Nifty India Defence Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KC1183
148807,Aditya Birla Sun Life Nifty Midcap 150 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KB1W74
149838,Aditya Birla Sun Life Nifty Next 50 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KB10G3
149794,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB11F3
149199,Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB18B7
151562,Aditya Birla Sun Life Nifty SDL SEP 2027 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB16T3
150663,Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB10M1
148815,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KB1W17
147844,Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB1O82
147409,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB1O25
152684,Aditya Birla Sun Life Quant Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KC1118
120705,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,Conservative Hybrid,INF209K01XH4
146575,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,Retirement,INF209KB1I23
146930,Aditya Birla Sun Life Retirement Fund-The 40s Plan-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,Retirement,INF209KB1I80
146940,Aditya Birla Sun Life Retirement Fund-The 50s Plan-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,Retirement,INF209KB1J48
146943,Aditya Birla Sun Life Retirement Fund-The 50s Plus-Debt Plan-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,Retirement,INF209KB1K03
119501,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,Ultra Short Duration,INF209K01UR9
119498,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,Short Duration,INF209K01XK8
149780,Aditya Birla Sun Life Silver ETF FOF-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF209KB16F2
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Small Cap,INF209K01WN4
148539,Aditya Birla Sun Life Special Opportunities Fund-Direct-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB1T79
152158,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB15X7
149291,Aditya Birla Sun Life US Equity Passive FOF-Direct-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Overseas Fund of Funds - Fund of Funds investing overseas,Fund of Funds,INF209KB18C5
152140,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF209KB16W7
152150,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF209KB12X4
119659,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,Value,INF209K01WQ7
154518,AlphaGrep Flexi Cap Fund - Direct - Growth,AlphaGrep Mutual Fund,Open Ended Schemes,Equity Schemes - Flexi Cap Fund,Flexi Cap,INF2VOA01079
154565,AlphaGrep Liquid Omni FoF- Direct Growth,AlphaGrep Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF2VOA01137
144394,Axis Aggressive Hybrid Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Aggressive Hybrid,INF846K01E25
130773,Axis Arbitrage Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,Arbitrage,INF846K01PZ1
154171,Axis BSE India Sectors Leaders Index Fund- Direct Plan- Growth Option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846KA1424
152422,Axis BSE Sensex Index Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846K012V6
141642,Axis Balanced Advantage Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Balanced Advantage,INF846K01A29
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Banking & PSU,INF846K01CR6
151368,Axis Business Cycles Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF846K016N4
151300,Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846K010N7
149873,Axis CRISIL IBX SDL May 2027 Index Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846K017G6
153051,Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846K015Y3
152887,Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846K017X1
153172,Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan - Growth option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846KA1028
153879,Axis CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan - Growth option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846KA1226
135762,Axis Children's Fund - Lock in - Direct Growth,Axis Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,Children,INF846K01WO1
135764,Axis Children's Fund - No Lock in - Direct Growth,Axis Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,Children,INF846K01WR4
120480,Axis Conservative Hybrid Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,Conservative Hybrid,INF846K01EA8
152805,Axis Consumption Fund Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF846K013X0
141588,Axis Corporate Bond Fund - Direct Plan Growth,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Corporate Bond,INF846K01ZM8
130314,Axis Credit Risk Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Credit Risk,INF846K01PJ5
120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,Dynamic Bond,INF846K01DI3
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,ELSS,INF846K01EW2
147928,Axis ESG Integration Strategy Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF846K01W23
135120,Axis Equity Savings Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,Equity Savings,INF846K01VJ3
141925,Axis Flexi Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Flexi Cap,INF846K01B28
149049,Axis Floater Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,Floating Rate,INF846K014A6
120468,Axis Focused Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,Focused,INF846K01CQ8
120447,Axis Gilt Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Gilt,INF846K01DD4
148485,Axis Global Equity Alpha Fund of Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF846K01X06
148954,Axis Global Innovation Fund of Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF846K01Z20
120473,Axis Gold Fund - Direct Plan - Growth option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF846K01DS2
154078,Axis Gold and Silver Passive FOF - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF846KA1408
148699,Axis Greater China Equity Fund of Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF846K01Y39
147889,Axis Income Plus Arbitrage Omni FOF - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF846K01U09
153924,Axis Income Plus Arbitrage Passive FOF - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF846KA1283
