amfi_code,scheme_name,fund_house,scheme_type,scheme_category,category,isin_growth
145454,DSP Healthcare Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF740KA1LG1
130493,DSP Income Plus Arbitrage Omni FoF - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF740K01Z50
119247,DSP India T.I.G.E.R. Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF740K01PU7
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Mid Cap,INF740K01PL6
119250,DSP Large Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Large Cap,INF740K01PR3
119125,DSP Liquidity Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid,INF740K01QL4
133925,DSP Low Duration Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,Low Duration,INF740K013Q1
119071,DSP Midcap Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Mid Cap,INF740K01PX1
152056,DSP Multi Asset Allocation Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,Multi Asset,INF740KA1TE9
154167,DSP Multi Asset Omni Fund of Funds - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF740KA1YE9
152310,DSP Multicap Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,Multi Cap,INF740KA1UC1
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF740K01QA7
141877,DSP Nifty 50 Equal Weight Index Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1CR7
146376,DSP Nifty 50 Index Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1MM7
154088,DSP Nifty 500 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1XY9
152654,DSP Nifty Bank Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1UO6
153594,DSP Nifty Healthcare Index Fund - Direct- Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1WF0
153590,DSP Nifty IT Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1WL8
154014,DSP Nifty Midcap 150 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1XB7
150428,DSP Nifty Midcap 150 Quality 50 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1RB9
146381,DSP Nifty Next 50 Index Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1MG9
153348,DSP Nifty Private Bank Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1VN6
149970,DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1QV9
151373,DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1SH4
154018,DSP Nifty Smallcap 250 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1XH4
152243,DSP Nifty Smallcap250 Quality 50 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1TW1
152814,DSP Nifty Top 10 Equal Weight Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1UQ1
153801,DSP Nifty500 Flexicap Quality 30 Index Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF740KA1WR5
146062,DSP Overnight Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,Overnight,INF740KA1MC8
147306,DSP Quant Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF740KA1NQ6
118994,DSP Regular Savings Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,Conservative Hybrid,INF740K01NO5
119106,DSP Savings Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Money Market,INF740K01NU2
119226,DSP Short Term Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,Short Duration,INF740K01NJ5
153487,DSP Silver ETF Fund of Fund - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF740KA1VZ0
119212,DSP Small Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Small Cap,INF740K01QD1
119239,DSP Strategic Bond Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,Dynamic Bond,INF740K01QG4
152528,DSP US Specific Debt Passive FoF - Direct - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF740KA1UJ6
119252,DSP US Specific Equity Omni FoF - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF740K01OH7
119205,DSP Ultra Short Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,Ultra Short Duration,INF740K01ON5
148595,DSP Value Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,Value,INF740KA1PP3
119277,DSP World Gold Mining Overseas Equity Omni FoF - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF740K01OZ9
119279,DSP World Mining Overseas Equity Omni FoF - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF740K01PF8
140256,Edelweiss ASEAN Equity Off-shore Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF843K01AW7
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Aggressive Hybrid,INF754K01CE0
130206,Edelweiss Arbitrage Fund- Direct Plan- Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,Arbitrage,INF754K01EA4
153497,Edelweiss BSE Internet Economy Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01UX2
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Balanced Advantage,INF754K01BS2
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Banking & PSU,INF843K01FC8
152710,Edelweiss Business Cycle Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF754K01TA2
150671,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01PF9
150727,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01PN3
150807,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01PV6
151365,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01RK5
153335,Edelweiss CRISIL IBX AAA Bond NBFC HFC Jun 2027 Index Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01UG7
153115,Edelweiss CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Direct - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01TP0
149950,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01OG0
153214,Edelweiss Consumption Fund - Direct - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF754K01TY2
118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,ELSS,INF754K01CA8
140327,Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF843K01IZ3
140347,Edelweiss Equity Savings Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,Equity Savings,INF843K01KC8
140296,Edelweiss Europe Dynamic Equity Offshore Fund - Growth Option - Direct Plan,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF843K01GI3
154108,Edelweiss Financial Services Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF754K01WH1
140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Flexi Cap,INF843K01KK1
150376,Edelweiss Focused Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,Focused,INF754K01OP1
154208,Edelweiss Gold ETF Fund of Fund Direct Plan Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF754K01WP4
150581,Edelweiss Gold and Silver ETF FOF - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF754K01OX5
140298,Edelweiss Government Securities Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Gilt,INF843K01GS2
140243,Edelweiss Greater China Equity Off-shore Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF843K01AU1
153712,Edelweiss Income Plus Arbitrage Active Fund of Funds - Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF754K01VF7
140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Mid Cap,INF843K01AL0
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Large Cap,INF754K01BW4
140196,Edelweiss Liquid Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid,INF754K01GM4
153416,Edelweiss Low Duration Fund - Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,Low Duration,INF754K01UP8
148555,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01LV5
140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Mid Cap,INF843K01AO4
140237,Edelweiss Money Market Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Money Market,INF843K01CE1
151792,Edelweiss Multi Asset Allocation Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,Multi Asset,INF754K01RS8
153776,Edelweiss Multi Asset Omni Fund of Fund- Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF754K01VN1
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,Multi Cap,INF754K01SD8
149343,Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01NR9
148795,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01MD1
149247,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01MT7
149254,Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01NJ6
149250,Edelweiss Nifty 50 Index Fund Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01NB3
152616,Edelweiss Nifty Alpha Low Volatility 30 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01SS6
154310,Edelweiss Nifty LargeMidcap 250 Plus 8-13 yr G-Sec 70-30 Index Fund Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01WR0
150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01QD2
150899,Edelweiss Nifty Next 50 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01QL5
150892,Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01QT8
152985,Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Direct - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF754K01TN5
147570,Edelweiss Overnight Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,Overnight,INF754K01JV9
142388,Edelweiss Recently Listed IPO Fund Direct Plan Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF754K01ML4
154072,Edelweiss Silver ETF Fund of Fund - Direct Plan Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF754K01VZ5
146196,Edelweiss Small Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Small Cap,INF754K01JN6
152437,Edelweiss Technology Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF754K01SK3
148063,Edelweiss US Technology Equity Fund of Fund- Direct Plan- Growth,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF754K01LB7
140274,Edelweiss US Value Equity Offshore Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF843K01EC1
118559,Franklin Asian Equity Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF090I01IZ5
118557,Franklin Build India Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF090I01JF5
118546,Franklin India Aggressive Hybrid Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Aggressive Hybrid,INF090I01FZ1
153043,Franklin India Arbitrage Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,Arbitrage,INF090I01XS9
150481,Franklin India Balanced Advantage Fund- Growth- Direct,Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Balanced Advantage,INF090I01WQ5
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Banking & PSU,INF090I01KR8
118574,Franklin India Conservative Hybrid Fund - Direct - GROWTH,Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,Conservative Hybrid,INF090I01GF1
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Corporate Bond,INF090I01FW8
118553,Franklin India Credit Risk Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Credit Risk,
118495,Franklin India Dynamic Accrual Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,Dynamic Bond,
118543,Franklin India Dynamic Asset Allocation Active Fund Of Funds - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF090I01HV6
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,ELSS,INF090I01JS8
144466,Franklin India Equity Savings Fund- Growth Direct,Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,Equity Savings,INF090I01PD7
118535,Franklin India Flexi Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Flexi Cap,INF090I01FK3
118508,Franklin India Floating Rate Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,Floating Rate,INF090I01LK1
118564,Franklin India Focused Equity Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,Focused,INF090I01IW2
118498,Franklin India Government Securities Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Gilt,INF090I01HS2
118581,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF090I01GS4
118554,Franklin India Income Opportunities Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Medium Duration,
132989,Franklin India Income Plus Arbitrage Active Fund of Funds- Growth Plan - Direct,Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF090I01LH7
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Mid Cap,INF090I01IN1
118531,Franklin India Large Cap Fund- Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Large Cap,INF090I01FN7
118577,Franklin India Liquid Fund - Super Institutional - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid,INF090I01JV2
153102,Franklin India Long Duration Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Long Duration Fund,Long Duration,INF090I01XY7
118530,Franklin India Low Duration Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,Low Duration,
153368,Franklin India Low Duration Fund-Direct-Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,Low Duration,INF090I01YE7
152851,Franklin India Medium to Long Duration Fund - Direct Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Long Duration,INF090I01XG4
118533,Franklin India Mid Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Mid Cap,INF090I01FH9
118506,Franklin India Money Market Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Money Market,INF090I01GV8
153731,Franklin India Multi Asset Allocation Fund- Direct-Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,Multi Asset,INF090I01YH0
152739,Franklin India Multi Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,Multi Cap,INF090I01XA7
153942,Franklin India Multi-Factor Fund- Direct- Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF090I01YQ1
118539,Franklin India Opportunities Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF090I01GC8
147214,Franklin India Overnight Fund- Growth - Direct,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,Overnight,INF090I01SS9
118548,Franklin India Retirement Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,Retirement,INF090I01JZ3
118565,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,Short Duration,INF090I01GK1
154541,Franklin India Short Term Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Short Term Fund,Short Duration,
118525,Franklin India Small Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Small Cap,INF090I01IQ4
118537,Franklin India Technology Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF090I01FE6
118560,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,Ultra Short Duration,
152825,Franklin India Ultra Short Duration Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,Ultra Short Duration,INF090I01XL4
118551,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Fund of Funds,INF090I01JR0
145599,Groww Aggressive Hybrid Fund (formerly known as Indiabulls Equity Hybrid Fund) - Direct Plan - Growth option,Groww Mutual Fund,Open Ended Schemes,Hybrid Schemes - Aggressive Hybrid Fund,Aggressive Hybrid,INF666M01FA3
154320,Groww Arbitrage Fund Direct Growth,Groww Mutual Fund,Open Ended Schemes,Hybrid Schemes - Arbitrage Fund,Arbitrage,INF666M01ON8
154200,Groww BSE Hospitals ETF FOF Direct Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01NX9
153745,Groww BSE Power ETF FOF Direct Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01LN4
152254,Groww Banking & Financial Services Fund - Direct Plan - Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Sectoral Fund,Sectoral,INF666M01HS1
145589,Groww Dynamic Term Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option,Groww Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Dynamic Term Fund,Dynamic Bond,INF666M01EK5
141808,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - ELSS- Tax Saver Fund,ELSS,INF666M01DK7
153477,Groww Gilt Fund - Direct - Growth,Groww Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Gilt Fund,Gilt,INF666M01KK2
152980,Groww Gold ETF FOF - DIRECT - GROWTH,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01IX9
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Large Cap Fund,Large Cap,INF666M01600
119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,Groww Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund,Liquid,INF666M01451
153982,Groww Money Market Fund Direct Growth,Groww Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund,Money Market,INF666M01MW3
153821,Groww Multi Asset Allocation Fund Direct Growth,Groww Mutual Fund,Open Ended Schemes,Hybrid Schemes - Multi Asset Allocation Fund,Multi Asset,INF666M01MA9
154028,Groww Multi Asset Omni FOF Direct Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01NC3
153034,Groww Multicap Fund - Direct - Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Multi Cap Fund,Multi Cap,INF666M01JD9
153328,Groww Nifty 200 ETF FOF - Direct - Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01JQ1
153704,Groww Nifty 50 Index Fund Direct Growth,Groww Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF666M01KT3
153453,Groww Nifty 500 Momentum 50 ETF FOF - Direct Plan - Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01JX7
153908,Groww Nifty Capital Markets ETF FOF Direct Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01MG6
152770,Groww Nifty EV & New Age Automotive ETF FOF- Direct Plan - Growth,Groww Mutual Fund,Open Ended Schemes,Equity Schemes - Value Fund,Value,INF666M01IL4
